CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;88
RefMandelCalculator;512;1536;1024;100;88
RefMandelCalculator;512;1536;1024;100;88
LineMandelCalculator;512;1536;1024;100;15
LineMandelCalculator;512;1536;1024;100;15
RefMandelCalculator;1024;3072;2048;100;350
RefMandelCalculator;1024;3072;2048;100;351
LineMandelCalculator;512;1536;1024;100;15
RefMandelCalculator;1024;3072;2048;100;351
LineMandelCalculator;1024;3072;2048;100;79
BatchMandelCalculator;512;1536;1024;100;10
BatchMandelCalculator;512;1536;1024;100;10
BatchMandelCalculator;512;1536;1024;100;9
LineMandelCalculator;1024;3072;2048;100;78
RefMandelCalculator;2048;6144;4096;100;1398
RefMandelCalculator;2048;6144;4096;100;1398
RefMandelCalculator;2048;6144;4096;100;1398
LineMandelCalculator;1024;3072;2048;100;79
LineMandelCalculator;2048;6144;4096;100;312
BatchMandelCalculator;1024;3072;2048;100;38
BatchMandelCalculator;1024;3072;2048;100;38
BatchMandelCalculator;1024;3072;2048;100;39
LineMandelCalculator;2048;6144;4096;100;313
RefMandelCalculator;4096;12288;8192;100;5572
RefMandelCalculator;4096;12288;8192;100;5570
RefMandelCalculator;4096;12288;8192;100;5573
LineMandelCalculator;2048;6144;4096;100;314
LineMandelCalculator;4096;12288;8192;100;1261
BatchMandelCalculator;2048;6144;4096;100;149
BatchMandelCalculator;2048;6144;4096;100;150
BatchMandelCalculator;2048;6144;4096;100;149
LineMandelCalculator;4096;12288;8192;100;1260
RefMandelCalculator;512;1536;1024;1000;746
RefMandelCalculator;512;1536;1024;1000;746
RefMandelCalculator;512;1536;1024;1000;746
LineMandelCalculator;4096;12288;8192;100;1258
LineMandelCalculator;512;1536;1024;1000;105
BatchMandelCalculator;4096;12288;8192;100;589
BatchMandelCalculator;4096;12288;8192;100;596
BatchMandelCalculator;4096;12288;8192;100;594
LineMandelCalculator;512;1536;1024;1000;105
RefMandelCalculator;1024;3072;2048;1000;2986
RefMandelCalculator;1024;3072;2048;1000;2986
RefMandelCalculator;1024;3072;2048;1000;2986
LineMandelCalculator;512;1536;1024;1000;105
LineMandelCalculator;1024;3072;2048;1000;571
BatchMandelCalculator;512;1536;1024;1000;49
BatchMandelCalculator;512;1536;1024;1000;49
BatchMandelCalculator;512;1536;1024;1000;49
LineMandelCalculator;1024;3072;2048;1000;571
RefMandelCalculator;2048;6144;4096;1000;11949
RefMandelCalculator;2048;6144;4096;1000;11945
RefMandelCalculator;2048;6144;4096;1000;11945
LineMandelCalculator;1024;3072;2048;1000;571
LineMandelCalculator;2048;6144;4096;1000;2267
BatchMandelCalculator;1024;3072;2048;1000;189
BatchMandelCalculator;1024;3072;2048;1000;187
BatchMandelCalculator;1024;3072;2048;1000;190
LineMandelCalculator;2048;6144;4096;1000;2264
RefMandelCalculator;4096;12288;8192;1000;47770
RefMandelCalculator;4096;12288;8192;1000;47785
RefMandelCalculator;4096;12288;8192;1000;47770
LineMandelCalculator;2048;6144;4096;1000;2266
LineMandelCalculator;4096;12288;8192;1000;9086
BatchMandelCalculator;2048;6144;4096;1000;701
BatchMandelCalculator;2048;6144;4096;1000;705
BatchMandelCalculator;2048;6144;4096;1000;702
LineMandelCalculator;4096;12288;8192;1000;9090
LineMandelCalculator;4096;12288;8192;1000;9115
BatchMandelCalculator;4096;12288;8192;1000;2698
BatchMandelCalculator;4096;12288;8192;1000;2707
BatchMandelCalculator;4096;12288;8192;1000;2695
